250,C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)F,224.0
97,C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,243.0
86,C=CC(=O)Oc1ccc(C(C)(C)C)cc1,344.0
257,C=CC(=O)OCc1ccccc1,279.0
36,C=CC(=O)Oc1ccccc1C,325.0
3,C=CC(=O)Oc1ccc(C(C)(C)C)cc1,344.0
198,O=C1OCC(=O)OC1,312.0
185,C=CC#N,383.0
87,C=CC(=O)Oc1ccc(C#N)cc1,317.0
76,C=Cc1ccc(OCCC)cc1,343.0
93,C=CC(=O)Oc1cccc(C(=O)OCC)c1,297.0
242,O=C1CCCCCN1,324.0
39,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234.0
40,C=CC(=O)Oc1ccc(C(=O)OCCCC)cc1,286.0
132,CC(C)OC(=O)C=C,270.0
233,Nc1cc(ccc1)N.ClC(=O)c1cc(ccc1)C(=O)Cl,537.0
125,C=CC(=O)OCCC(=O)CC#N,250.0
241,NCCCCCCCCCC(=O)O,315.0
41,C=CC(=O)OCCCC#N,233.0
197,OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,213.0
240,NCCCCCCCCCCCC(=O)O,313.0
191,OC(=O)c1ccc(cc1)C(=O)O.OCCCO,327.0
115,C=CC(=O)OCCC(=O)C(F)(F)C(F)F,251.0
189,FC(=C)F,242.0
136,C=CC(=O)OCCC(=O)CCC(=O)C(F)(F)C(F)F,233.0
101,C=CC(=O)OCCCCCC,216.0
269,CCCOC(=O)C(=C)Cl,344.0
247,C=CC(=O)Oc2ccc(c1ccccc1)cc2,383.0
11,C=CC(=O)Oc1ccccc1C(=O)OCC,303.0
146,C=Cc1ccc(C(=O)OCC)cc1,367.0
239,NCCCCCCN.OC(=O)CCCCC(=O)O,324.0
19,C=CC(=O)OCCCCCC,216.0
205,OC(=O)CCCCCCCCC(=O)O.OCCO,244.0
156,C=Cc1ccccc1COC(C)C,361.0
255,C=Cc1ccc(C(=O)OC(C)C)cc1,368.0
174,CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,311.0
182,CCCCCCCCNC(=O)C=C,220.0
96,C=CC(=O)OF,288.0
123,C=CC(=O)Oc1ccc(Cl)cc1Cl,333.0
107,C=CC(=O)OCC(C)CC,241.0
17,C=CC(=O)OC(C)CCCCC,235.0
94,C=CC(=O)OCCCOCC,218.0
53,CC(=C)C(=O)Oc1ccccc1,330.0
84,CC(OC(=O)C=C)CC,250.0
152,C=Cc1ccc(C(=O)OCC(C)C)cc1,363.0
49,C=CC(=O)Oc1ccccc1C(=O)OC,319.0
151,C=Cc2ccc(/C(Cc1ccccc1)=N/O)cc2,384.0
158,C=Cc2ccc(C(=O)Cc1ccccc1)cc2,351.0
4,C=CC(=O)Oc1ccc(cc1)Cl,331.0
253,CC(C)OC(=O)C=C,270.0
